,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.09.07,78400.0,300.0,78600.0,79500.0,77600.0,2730570.0
2,2020.09.04,78700.0,0.0,76400.0,79400.0,76100.0,4582566.0
3,2020.09.03,78700.0,3200.0,77700.0,79700.0,77200.0,7002529.0
4,2020.09.02,75500.0,300.0,75900.0,76400.0,74900.0,2369360.0
5,2020.09.01,75200.0,100.0,75200.0,76500.0,75200.0,2538676.0
9,2020.08.31,75100.0,2700.0,78200.0,78800.0,75100.0,5113128.0
10,2020.08.28,77800.0,1300.0,79500.0,79600.0,77700.0,2511956.0
11,2020.08.27,79100.0,300.0,80200.0,80200.0,78800.0,4223450.0
12,2020.08.26,78800.0,1800.0,78000.0,79100.0,77100.0,4741965.0
13,2020.08.25,77000.0,1500.0,76300.0,77700.0,75400.0,3473488.0
16,2020.08.24,75500.0,1000.0,74600.0,77200.0,73700.0,4298619.0
17,2020.08.21,74500.0,2700.0,72800.0,77000.0,72500.0,7700029.0
18,2020.08.20,71800.0,3200.0,74400.0,74400.0,71300.0,7260223.0
19,2020.08.19,75000.0,3100.0,77300.0,78000.0,75000.0,8028305.0
20,2020.08.18,78100.0,2100.0,80000.0,80200.0,78000.0,4946279.0
24,2020.08.14,80200.0,500.0,80200.0,81100.0,80100.0,2589552.0
25,2020.08.13,80700.0,300.0,81900.0,82000.0,80300.0,4049387.0
26,2020.08.12,81000.0,300.0,81100.0,81300.0,80200.0,3595828.0
27,2020.08.11,81300.0,100.0,81700.0,82000.0,81000.0,3234013.0
28,2020.08.10,81400.0,800.0,80100.0,81900.0,79800.0,3277238.0
31,2020.08.07,80600.0,500.0,81200.0,81300.0,80000.0,4946631.0
32,2020.08.06,81100.0,400.0,80700.0,81900.0,80700.0,3391939.0
33,2020.08.05,80700.0,900.0,81200.0,81300.0,80500.0,4537005.0
34,2020.08.04,81600.0,200.0,81800.0,82500.0,81400.0,3005937.0
35,2020.08.03,81800.0,1000.0,82400.0,82600.0,81500.0,3483106.0
39,2020.07.31,82800.0,2500.0,85700.0,86000.0,82800.0,4848989.0
40,2020.07.30,85300.0,2100.0,83300.0,86400.0,83000.0,6870841.0
41,2020.07.29,83200.0,100.0,82900.0,83800.0,82600.0,3719681.0
42,2020.07.28,83100.0,300.0,83900.0,83900.0,82700.0,4538720.0
43,2020.07.27,82800.0,900.0,83100.0,84000.0,82800.0,2784652.0
46,2020.07.24,83700.0,1300.0,82300.0,83700.0,82200.0,3667416.0
47,2020.07.23,82400.0,800.0,84000.0,84000.0,82300.0,3591647.0
48,2020.07.22,83200.0,900.0,84100.0,84200.0,82900.0,2876295.0
49,2020.07.21,84100.0,1900.0,83400.0,84700.0,83000.0,4181015.0
50,2020.07.20,82200.0,700.0,82800.0,83000.0,82100.0,2008624.0
54,2020.07.17,82900.0,200.0,82700.0,83500.0,82600.0,1579078.0
