"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 09월 04일","402,000","390,000","404,500","390,000","1.16M","-1.95%"
"2020년 09월 03일","410,000","415,500","415,500","404,500","0.65K","-0.49%"
"2020년 09월 02일","412,000","405,500","412,000","401,500","0.06K","2.62%"
"2020년 09월 01일","401,500","413,500","416,000","400,000","0.04K","-1.35%"
"2020년 08월 31일","407,000","410,500","420,000","401,000","0.04K","0.37%"
"2020년 08월 30일","405,500","405,500","405,500","405,500","-","0.00%"
"2020년 08월 28일","405,500","413,500","416,000","400,000","1.50M","-1.22%"
"2020년 08월 27일","410,500","396,500","413,000","396,500","0.45K","4.72%"
"2020년 08월 26일","392,000","380,500","394,000","378,000","0.10K","2.89%"
"2020년 08월 25일","381,000","384,500","385,000","377,000","880.51K","0.26%"
"2020년 08월 24일","380,000","374,500","382,500","367,500","0.04K","2.70%"
"2020년 08월 23일","370,000","370,000","370,000","370,000","-","0.00%"
"2020년 08월 21일","370,000","370,000","373,500","362,000","1.01M","1.51%"
"2020년 08월 20일","364,500","375,500","383,000","359,500","1.11K","-3.19%"
"2020년 08월 19일","376,500","385,000","385,000","372,500","1.90K","-0.40%"
"2020년 08월 18일","378,000","372,000","389,500","368,000","0.14K","4.28%"
"2020년 08월 17일","362,500","362,500","362,500","362,500","-","0.00%"
"2020년 08월 14일","362,500","361,000","366,000","358,000","818.50K","0.55%"
"2020년 08월 13일","360,500","359,000","365,000","356,500","0.39K","1.84%"
"2020년 08월 12일","354,000","349,000","356,500","347,500","0.14K","0.43%"
"2020년 08월 11일","352,500","351,500","356,000","348,000","0.34K","-0.98%"
"2020년 08월 10일","356,000","345,500","358,500","342,000","0.23K","0.85%"
"2020년 08월 09일","353,000","353,000","353,000","353,000","-","0.00%"
"2020년 08월 07일","353,000","368,000","370,000","350,500","1.89M","-3.02%"
"2020년 08월 06일","364,000","358,500","372,500","358,500","1.07K","-1.75%"
"2020년 08월 05일","370,500","366,500","371,000","363,000","14.31K","0.14%"
"2020년 08월 04일","370,000","379,000","383,500","361,000","1.70K","1.09%"
"2020년 08월 03일","366,000","347,000","366,000","347,000","0.12K","6.55%"
"2020년 08월 02일","343,500","343,500","343,500","343,500","-","0.00%"
"2020년 07월 31일","343,500","336,000","344,000","335,500","1.07M","3.46%"
"2020년 07월 30일","332,000","335,500","337,000","331,500","0.50K","0.15%"
"2020년 07월 29일","331,500","329,000","333,000","325,000","0.29K","0.61%"
"2020년 07월 28일","329,500","331,500","335,500","328,500","2.02K","0.92%"
"2020년 07월 27일","326,500","321,500","329,500","320,500","0.04K","0.62%"
"2020년 07월 26일","324,500","324,500","324,500","324,500","-","0.00%"
"2020년 07월 24일","324,500","325,000","333,000","322,000","898.06K","-1.52%"
"2020년 07월 23일","329,500","316,500","329,500","315,000","1.25M","3.62%"
"2020년 07월 22일","318,000","310,500","321,000","306,000","0.47K","0.63%"
"2020년 07월 21일","316,000","323,500","325,500","311,500","1.10K","1.94%"
"2020년 07월 20일","310,000","325,000","325,000","310,000","0.13K","-4.62%"
"2020년 07월 19일","325,000","325,000","325,000","325,000","-","0.00%"
"2020년 07월 17일","325,000","319,000","327,000","314,000","1.26M","0.93%"
"2020년 07월 16일","322,000","332,000","334,500","319,000","1.65K","-4.59%"
"2020년 07월 15일","337,500","344,500","349,500","332,000","0.61K","-1.60%"
"2020년 07월 14일","343,000","341,500","346,000","340,000","4.96K","-2.56%"
"2020년 07월 13일","352,000","348,000","355,500","347,000","0.50K","-0.98%"
"2020년 07월 10일","355,500","351,000","368,000","345,500","2.55M","0.00%"
"2020년 07월 09일","355,500","335,000","355,500","332,500","4.12K","8.38%"
"2020년 07월 08일","328,000","312,000","328,000","305,000","0.37K","5.64%"
"2020년 07월 07일","310,500","306,000","317,500","304,500","0.58K","3.33%"
"2020년 07월 06일","300,500","297,500","307,000","297,500","0.16K","2.21%"
"2020년 07월 05일","294,000","294,000","294,000","294,000","-","0.00%"
"2020년 07월 03일","294,000","289,500","297,000","284,000","1.60M","2.98%"
"2020년 07월 02일","285,500","273,000","285,500","273,000","0.03K","5.94%"
"2020년 07월 01일","269,500","271,000","275,000","267,500","0.14K","0.75%"
"2020년 06월 30일","267,500","272,000","273,000","267,500","0.02K","0.00%"
"2020년 06월 29일","267,500","269,000","273,500","266,500","0.04K","-2.55%"
"2020년 06월 28일","274,500","274,500","274,500","274,500","-","0.00%"
"2020년 06월 26일","274,500","279,500","280,000","268,000","809.55K","0.00%"
"2020년 06월 25일","274,500","278,500","281,500","273,500","0.01K","-2.83%"
"2020년 06월 24일","282,500","281,500","284,000","275,000","0.12K","0.36%"
"2020년 06월 23일","281,500","278,500","289,000","277,500","0.13K","2.74%"
"2020년 06월 22일","274,000","263,000","276,000","260,500","0.04K","3.98%"
"2020년 06월 21일","263,500","263,500","263,500","263,500","-","0.00%"
"2020년 06월 19일","263,500","267,500","269,500","262,000","910.40K","0.00%"
"2020년 06월 18일","263,500","264,500","266,500","260,500","0.05K","0.19%"
"2020년 06월 17일","263,000","262,500","264,500","262,000","2.54K","0.00%"
"2020년 06월 16일","263,000","260,500","263,000","258,000","892.39K","4.16%"
"2020년 06월 15일","252,500","266,000","271,000","250,000","1.54M","-5.08%"
"2020년 06월 14일","266,000","266,000","266,000","266,000","-","0.00%"
"2020년 06월 12일","266,000","256,500","268,000","256,000","1.68M","0.38%"
"2020년 06월 11일","265,000","264,000","268,000","261,000","0.15K","1.15%"
"2020년 06월 10일","262,000","257,000","263,500","257,000","0.48K","2.95%"
"2020년 06월 09일","254,500","255,500","259,500","252,500","0.23K","-0.78%"
"2020년 06월 08일","256,500","252,500","258,000","248,500","0.13K","2.19%"
"2020년 06월 07일","251,000","251,000","251,000","251,000","-","0.00%"
"2020년 06월 05일","251,000","253,000","253,500","247,500","1.00M","-1.18%"
"2020년 06월 04일","254,000","247,500","256,500","247,000","1.42K","1.80%"
"2020년 06월 03일","249,500","259,500","261,500","247,500","3.71K","-3.85%"
"2020년 06월 02일","259,500","262,500","262,500","257,000","1.50K","-1.70%"
"2020년 06월 01일","264,000","263,500","266,000","259,500","1.08M","0.19%"
"2020년 05월 31일","263,500","263,500","263,500","263,500","-","0.00%"
"2020년 05월 29일","263,500","263,500","267,500","257,500","1.63M","-1.31%"
"2020년 05월 28일","267,000","257,500","270,000","253,000","2.40K","2.50%"
"2020년 05월 27일","260,500","262,500","267,000","257,000","1.90K","-3.52%"
"2020년 05월 26일","270,000","273,000","279,500","261,000","1.19K","0.75%"
"2020년 05월 25일","268,000","250,500","269,500","249,500","3.02K","8.50%"
"2020년 05월 24일","247,000","247,000","247,000","247,000","-","0.00%"
"2020년 05월 22일","247,000","237,500","248,500","235,000","1.88M","4.00%"
"2020년 05월 21일","237,500","237,500","240,000","234,500","1.40M","2.59%"
"2020년 05월 20일","231,500","223,500","234,000","222,500","0.10K","5.23%"
"2020년 05월 19일","220,000","222,000","222,500","214,500","0.19K","-0.45%"
"2020년 05월 18일","221,000","221,500","225,500","219,000","0.91K","-0.23%"
"2020년 05월 17일","221,500","221,500","221,500","221,500","-","0.00%"
"2020년 05월 15일","221,500","228,500","231,500","216,000","1.52M","-1.56%"
"2020년 05월 14일","225,000","216,000","228,000","214,000","0.02K","3.93%"
"2020년 05월 13일","216,500","211,500","216,500","211,500","0.23K","0.93%"
"2020년 05월 12일","214,500","209,000","216,500","206,000","1.56M","3.37%"
"2020년 05월 11일","207,500","207,000","211,500","206,500","1.05M","0.73%"
"2020년 05월 10일","206,000","206,000","206,000","206,000","-","0.00%"
"2020년 05월 08일","206,000","206,500","210,000","204,000","1.40M","0.00%"
"2020년 05월 07일","206,000","199,500","207,500","198,500","2.62M","3.26%"
"2020년 05월 06일","199,500","189,000","200,000","188,000","2.03M","6.97%"
"2020년 05월 05일","186,500","186,500","186,500","186,500","-","0.00%"
"2020년 05월 04일","186,500","181,500","190,000","180,000","1.02M","1.36%"
"2020년 05월 03일","184,000","184,000","184,000","184,000","-","0.00%"
"2020년 04월 29일","184,000","184,000","186,500","182,500","657.14K","-0.54%"
"2020년 04월 28일","185,000","185,500","186,500","181,500","665.91K","0.54%"
"2020년 04월 27일","184,000","183,000","187,000","181,500","719.45K","0.55%"
"2020년 04월 26일","183,000","183,000","183,000","183,000","-","0.00%"
"2020년 04월 24일","183,000","184,500","188,500","182,000","1.07M","-1.35%"
"2020년 04월 23일","185,500","181,500","186,500","180,500","1.40M","4.80%"
"2020년 04월 22일","177,000","174,000","177,000","171,500","683.68K","0.85%"
"2020년 04월 21일","175,500","176,500","177,500","168,500","1.23M","0.29%"
"2020년 04월 20일","175,000","172,500","179,000","172,000","857.32K","1.74%"
"2020년 04월 19일","172,000","172,000","172,000","172,000","-","0.00%"
