Date,Close,Open,High,Low,Volumn
2020-09-04,402000,390000,404500,390000,1.16M
2020-09-03,410000,415500,415500,404500,0.65K
2020-09-02,412000,405500,412000,401500,0.06K
2020-09-01,401500,413500,416000,400000,0.04K
2020-08-31,407000,410500,420000,401000,0.04K
2020-08-30,405500,405500,405500,405500,-
2020-08-28,405500,413500,416000,400000,1.50M
2020-08-27,410500,396500,413000,396500,0.45K
2020-08-26,392000,380500,394000,378000,0.10K
2020-08-25,381000,384500,385000,377000,880.51K
2020-08-24,380000,374500,382500,367500,0.04K
2020-08-23,370000,370000,370000,370000,-
2020-08-21,370000,370000,373500,362000,1.01M
2020-08-20,364500,375500,383000,359500,1.11K
2020-08-19,376500,385000,385000,372500,1.90K
2020-08-18,378000,372000,389500,368000,0.14K
2020-08-17,362500,362500,362500,362500,-
2020-08-14,362500,361000,366000,358000,818.50K
2020-08-13,360500,359000,365000,356500,0.39K
2020-08-12,354000,349000,356500,347500,0.14K
2020-08-11,352500,351500,356000,348000,0.34K
2020-08-10,356000,345500,358500,342000,0.23K
2020-08-09,353000,353000,353000,353000,-
2020-08-07,353000,368000,370000,350500,1.89M
2020-08-06,364000,358500,372500,358500,1.07K
2020-08-05,370500,366500,371000,363000,14.31K
2020-08-04,370000,379000,383500,361000,1.70K
2020-08-03,366000,347000,366000,347000,0.12K
2020-08-02,343500,343500,343500,343500,-
2020-07-31,343500,336000,344000,335500,1.07M
2020-07-30,332000,335500,337000,331500,0.50K
2020-07-29,331500,329000,333000,325000,0.29K
2020-07-28,329500,331500,335500,328500,2.02K
2020-07-27,326500,321500,329500,320500,0.04K
2020-07-26,324500,324500,324500,324500,-
2020-07-24,324500,325000,333000,322000,898.06K
2020-07-23,329500,316500,329500,315000,1.25M
2020-07-22,318000,310500,321000,306000,0.47K
2020-07-21,316000,323500,325500,311500,1.10K
2020-07-20,310000,325000,325000,310000,0.13K
2020-07-19,325000,325000,325000,325000,-
2020-07-17,325000,319000,327000,314000,1.26M
2020-07-16,322000,332000,334500,319000,1.65K
2020-07-15,337500,344500,349500,332000,0.61K
2020-07-14,343000,341500,346000,340000,4.96K
2020-07-13,352000,348000,355500,347000,0.50K
2020-07-10,355500,351000,368000,345500,2.55M
2020-07-09,355500,335000,355500,332500,4.12K
2020-07-08,328000,312000,328000,305000,0.37K
2020-07-07,310500,306000,317500,304500,0.58K
2020-07-06,300500,297500,307000,297500,0.16K
2020-07-05,294000,294000,294000,294000,-
2020-07-03,294000,289500,297000,284000,1.60M
2020-07-02,285500,273000,285500,273000,0.03K
2020-07-01,269500,271000,275000,267500,0.14K
2020-06-30,267500,272000,273000,267500,0.02K
2020-06-29,267500,269000,273500,266500,0.04K
2020-06-28,274500,274500,274500,274500,-
2020-06-26,274500,279500,280000,268000,809.55K
2020-06-25,274500,278500,281500,273500,0.01K
2020-06-24,282500,281500,284000,275000,0.12K
2020-06-23,281500,278500,289000,277500,0.13K
2020-06-22,274000,263000,276000,260500,0.04K
2020-06-21,263500,263500,263500,263500,-
2020-06-19,263500,267500,269500,262000,910.40K
2020-06-18,263500,264500,266500,260500,0.05K
2020-06-17,263000,262500,264500,262000,2.54K
2020-06-16,263000,260500,263000,258000,892.39K
2020-06-15,252500,266000,271000,250000,1.54M
2020-06-14,266000,266000,266000,266000,-
2020-06-12,266000,256500,268000,256000,1.68M
2020-06-11,265000,264000,268000,261000,0.15K
2020-06-10,262000,257000,263500,257000,0.48K
